numero_base,classe,descricao
010634,1,Preparações para regularizar o crescimento de plantas
010635,1,"Preparações desincrustantes, exceto para uso doméstico"
010636,1,Água do mar para uso industrial
010637,1,Preparações de elementos traço para plantas
010638,1,Cânfora para uso industrial
010639,1,Intensificadores químicos para papel
010640,1,Intensificadores químicos para borracha
010641,1,Coberturas de húmus
010642,1,Fluido magnético para uso industrial
010643,1,Fluido para direção hidráulica
010644,1,Fluido para transmissão
010645,1,Preparações antifervura para substâncias refrigerantes de motores
010646,1,Composições de cerâmica para sinterização [grânulos e pós]
010647,1,Líquidos de arrefecimento para motores de veículos
010648,1,Substâncias químicas para esvaziar radiadores
010649,1,Massas de preenchimento para reparo de carroceria de automóveis
010649,1,Massas de preenchimento para reparo de carroceria de carros
010650,1,Géis para eletroforese
010651,1,Mástique de vidraceiro
010652,1,Argila expandida para cultura hidropônica [substrato]
010653,1,Preparações para remover papel de parede
010654,1,Aditivos químicos para óleos
010656,1,Genes de sementes para produção agrícola
010657,1,"Células tronco, exceto para uso médico ou veterinário"
010658,1,"Cultura de tecido biológico, exceto para uso médico ou veterinário"
010659,1,Fertilizante de farinha de peixe
010660,1,Preparações de enzima para a indústria de alimentos
010661,1,Enzimas para a indústria de alimentos
010662,1,Glicose para a indústria de alimentos
010663,1,Lecitina para a indústria de alimentos
010664,1,Lecitina para uso industrial
010665,1,Pectina para a indústria de alimentos
010666,1,Pectina para uso industrial
010667,1,Creme de tártaro para a indústria de alimentos
010668,1,Creme de tártaro para uso industrial
010669,1,Alginato para indústria de alimentos
010670,1,Glúten para indústria de alimentos
010671,1,Glúten para fins industriais
010672,1,Lactose para indústria de alimentos
010673,1,Lactose para uso industrial
010674,1,Lactose [matéria-prima]
010675,1,Leite fermentado para a indústria de alimentos
010676,1,Leite fermentado para uso industrial
010677,1,Caseína para indústria de alimentos
010678,1,Espírito de sal amoníaco
010679,1,Substâncias químicas para a fabricação de pigmentos
010680,1,"Preparações de microrganismos, exceto para uso medicinal ou veterinário"
010681,1,Terra preparada para plantio em vasos
010682,1,Preparações para temperar metais
010683,1,Ácido glutâmico para fins industriais
010684,1,Extratos de chá para uso na fabricação de produtos farmacêuticos
010685,1,Extratos de chá para a indústria alimentícia
010686,1,Compostos orgânicos [fertilizantes]
010687,1,Extratos de chá para uso na fabricação de cosméticos
010688,1,Colágeno para fins industriais
010689,1,Carboneto [carbeto] de silício [material em bruto]
010690,1,"Adjuvantes, exceto para fins médicos ou veterinários"
010691,1,Vitaminas para uso na fabricação de suplementos alimentares
010692,1,Vitaminas para a indústria alimentícia
010693,1,Antioxidantes para uso em fabricação
