descricao,classe
"Comércio [através de qualquer meio] de produtos para a destruição dos animais nocivos, fungicidas e herbicidas Comércio [através de qualquer meio] de produtos para absorver, molhar e ligar a pó",35
Comércio [através de qualquer meio] de publicações periódicas impressas,35
Comércio [através de qualquer meio] de redes,35
Comércio [através de qualquer meio] de rendas e bordados,35
Comércio [através de qualquer meio] de resinas artificiais não processadas,35
Comércio [através de qualquer meio] de resinas naturais em estado bruto,35
Comércio [através de qualquer meio] de revestimentos de assoalhos,35
Comércio [através de qualquer meio] de roupas,35
Comércio [através de qualquer meio] de sabões,35
Comércio [através de qualquer meio] de sacos e sacolas,35
Comércio [através de qualquer meio] de sementes,35
Comércio [através de qualquer meio] de substâncias adesivas destinadas à indústria,35
Comércio [através de qualquer meio] de substâncias dietéticas para uso medicinal,35
Comércio [através de qualquer meio] de substâncias para uso em lavanderia,35
"Comércio [através de qualquer meio] de substâncias químicas destinadas à agricultura, à horticultura e à silvicultura Comércio [através de qualquer meio] de substâncias químicas destinadas a conservar alimentos Comércio [através de qualquer meio] de substâncias químicas destinadas à fotografia",35
Comércio [através de qualquer meio] de substâncias químicas destinadas à indústria,35
Comércio [através de qualquer meio] de substâncias químicas destinadas às ciências,35
Comércio [através de qualquer meio] de substâncias tanantes,35
Comércio [através de qualquer meio] de suplementos alimentares,35
Comércio [através de qualquer meio] de tabaco,35
Comércio [através de qualquer meio] de tapeçarias murais,35
Comércio [através de qualquer meio] de tecidos,35
Comércio [através de qualquer meio] de telas alcatroadas [lonas],35
Comércio [através de qualquer meio] de tendas,35
"Comércio [através de qualquer meio] de tintas, vernizes, lacas",35
Comércio [através de qualquer meio] de toldos,35
Comércio [através de qualquer meio] de tubos flexíveis não metálicos,35
Comércio [através de qualquer meio] de tubos metálicos,35
Comércio [através de qualquer meio] de tubos rígidos não metálicos para a construção,35
Comércio [através de qualquer meio] de utensílios e recipientes para a casa ou a cozinha,35
Comércio [através de qualquer meio] de veículos,35
Comércio [através de qualquer meio] de velas,35
Comércio [através de qualquer meio] de velas e pavios para iluminação,35
Comércio [através de qualquer meio] de vidro bruto ou semiacabado,35
Comércio [através de qualquer meio] de vime semiprocessado,35
Comércio [através de qualquer meio] de xaropes e preparações para bebidas,35
Comércio de comidas e bebidas materiais por meio de um ambiente virtual,35
"Comércio de softwares ou componentes de software, baixáveis, por meio de um ambiente virtual Concessionária de veículos [comércio de veículos]",35
Controle e registro de bovinos [gestão comercial],35
Corretagem de veículos,35
Datilografia,35
Desfile de moda com fim publicitário,35
Despachante aduaneiro [desembaraço e liberação de documento alfandegário],35
Despachante para agilizar documento,35
Distribuição de brindes [marketing],35
Distribuição de utensílio para diálise [comércio],35
Drogaria [comércio],35
Edição de texto publicitário,35
Elaboração de declaração de imposto de renda,35
Emissão de documentos e certidões oficiais,35
"Estudos e pareceres pertinentes à macro e microeconomia, serviços estes prestados com fins de assessoria na gestão de negócios e operação de uma empresa comercial Expedientes administrativos [auxílio administrativo]",35
Farmácia [comércio de produtos farmacêuticos],35
Fotocópia [reprodução de documentos],35
Gerenciamento de banco de dados,35
Gestão de franquia para terceiros,35
Gestão pública/privada,35
Habilitação de celular [serviço de cadastro],35
Implantação de programa de controle de qualidade [controle empresarial],35
Intermediação na compra e venda de energia e capacidade elétrica,35
Inventário e gerência de estoque,35
Levantamento mercadológico,35
"Licenciamento, compra e venda, leasing de marcas e patentes [intermediação de negócios comerciais] Marketing para terceiros",35
Organização de eventos para fins publicitários e/ou comerciais,35
Organização e administração de empresa para terceiros,35
Ouvidoria,35
Padaria [comércio de bebidas não alcoólicas; sem vistas ao consumo no local],35
Padaria [comércio de biscoitos; sem vistas ao consumo no local],35
Padaria [comércio de bolos; sem vistas ao consumo no local],35
Padaria [comércio de café moído; sem vistas ao consumo no local],35
"Padaria [comércio de carnes frias pré-cozidas, curadas ou defumadas; sem vistas ao consumo no local] Padaria [comércio de doces; sem vistas ao consumo no local]",35
Padaria [comércio de laticínios; sem vistas ao consumo no local],35
"Padaria [comércio de pães, sem vistas ao consumo no local]",35
Padaria [comércio de preparações para fazer bebidas à base de chás; sem vistas ao consumo no local] Padaria [comércio de salgados; sem vistas ao consumo no local],35
Padaria [comércio de tortas; sem vistas ao consumo no local],35
Perícia contábil,35
Perícia técnica na área contábil,35
Perícia técnica na área de administração,35
